massmosaic,ZZ_Primary_Ed_061014_1,1,poster - scarcity vs abundance thinking,,56,33,5,,,
kpanthaki,ZZ_Primary_Ed_061014_1,1,poster - scarcity vs abundance thinking,,56,33,5,,,
thezenteacher,ZZ_Primary_Ed_061014_1,1,poster - scarcity vs abundance thinking,,56,33,5,,,
mamaclean28,ZZ_Primary_Ed_061014_1,1,poster - scarcity vs abundance thinking,,56,33,5,,,
ericnentrup,ZZ_Primary_Ed_061014_1,1,poster - scarcity vs abundance thinking,,56,33,5,,,
qtcswsr,ZZ_Primary_Ed_061014_1,1,poster - scarcity vs abundance thinking,,56,33,5,,,
dNativesCorp,ZZ_dNativesCorp_071014_1,8,teacher's notepad - why I tweet as a teacher,https://pbs.twimg.com/media/Bt67RvXCEAA3nWa.jpg,0,0,0,,,
Primary_Ed,ZZ_Primary_Ed_071014_1,8,teacher's work - poster for what to do when stuck,https://pbs.twimg.com/media/BzXvWf8CQAEVY0X.jpg,27,54,3,14,37,1
VPWilliamson,ZZ_Primary_Ed_071014_1,4,teacher's work - poster for what to do when stuck,,27,54,3,,,
Pulzlad19,ZZ_Primary_Ed_071014_1,4 via osirisedu,teacher's work - poster for what to do when stuck,,27,54,3,,,
HalehAgar,ZZ_Primary_Ed_071014_1,4 via osirisedu,teacher's work - poster for what to do when stuck,,27,54,3,,,
ms_iz,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
ROARMMS,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
TanyaSpillane,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
RhettLadner,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
nancefoster,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
eburchat,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
VickiBostonSLP,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
ell_teacherpros,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
nystrom5402,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
dnoble23,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
MissGarciaLHS,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
HankeyRobert,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
katsogianopolou,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
rparmley1,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
VPWilliamson,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,,,
osirisedu,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,12,14,0
Infeducation,ZZ_Primary_Ed_071014_1,2,teacher's work - poster for what to do when stuck,,27,54,3,1,3,0
KINGSCEP,ZZ_Primary_Ed_071014_1,2 via osirisedu,teacher's work - poster for what to do when stuck,,27,54,3,,,
Pulzlad19,ZZ_Primary_Ed_071014_1,2 via osirisedu,teacher's work - poster for what to do when stuck,,27,54,3,,,
jdgpercy,ZZ_Primary_Ed_071014_1,2 via osirisedu,teacher's work - poster for what to do when stuck,,27,54,3,,,
Catherine_D2013,ZZ_Primary_Ed_071014_1,2 via osirisedu,teacher's work - poster for what to do when stuck,,27,54,3,,,
lbingley,ZZ_Primary_Ed_071014_1,2 via osirisedu,teacher's work - poster for what to do when stuck,,27,54,3,,,
SanStansfield,ZZ_Primary_Ed_071014_1,2 via osirisedu,teacher's work - poster for what to do when stuck,,27,54,3,,,
