CMDLINE c:\python27\python.exe pagerank.py -- -1
MEM 0.496094 1554817873.6230
MEM 10.351562 1554817873.7240
MEM 14.929688 1554817873.8250
MEM 17.960938 1554817873.9250
MEM 22.562500 1554817874.0260
MEM 27.695312 1554817874.1270
MEM 32.601562 1554817874.2270
MEM 34.093750 1554817874.3280
MEM 36.281250 1554817874.4280
MEM 37.957031 1554817874.5290
MEM 42.867188 1554817874.6290
MEM 45.457031 1554817874.7300
MEM 57.269531 1554817874.8310
MEM 84.390625 1554817874.9320
MEM 98.886719 1554817875.0320
MEM 78.785156 1554817875.1330
MEM 86.554688 1554817875.2340
MEM 101.742188 1554817875.3350
MEM 86.714844 1554817875.4350
MEM 90.433594 1554817875.5360
MEM 102.246094 1554817875.6360
MEM 87.910156 1554817875.7370
MEM 93.085938 1554817875.8380
MEM 102.292969 1554817875.9380
MEM 92.238281 1554817876.0390
MEM 95.371094 1554817876.1400
MEM 102.226562 1554817876.2410
MEM 92.531250 1554817876.3410
MEM 96.718750 1554817876.4420
MEM 71.152344 1554817876.5430
MEM 84.027344 1554817876.6440
MEM 96.671875 1554817876.7440
MEM 75.308594 1554817876.8450
MEM 86.628906 1554817876.9460
MEM 99.925781 1554817877.0470
MEM 82.316406 1554817877.1470
MEM 89.207031 1554817877.2480
MEM 102.121094 1554817877.3490
MEM 83.281250 1554817877.4500
MEM 89.765625 1554817877.5500
MEM 102.179688 1554817877.6510
MEM 88.187500 1554817877.7510
MEM 93.175781 1554817877.8520
MEM 102.582031 1554817877.9530
MEM 92.800781 1554817878.0530
MEM 97.425781 1554817878.1540
MEM 102.578125 1554817878.2550
MEM 92.656250 1554817878.3550
MEM 99.667969 1554817878.4560
MEM 102.679688 1554817878.5570
MEM 92.847656 1554817878.6570
MEM 101.488281 1554817878.7580
MEM 83.660156 1554817878.8590
MEM 89.488281 1554817878.9600
MEM 102.242188 1554817879.0600
MEM 84.132812 1554817879.1610
MEM 91.898438 1554817879.2620
MEM 102.453125 1554817879.3620
MEM 88.515625 1554817879.4630
MEM 93.925781 1554817879.5640
MEM 102.640625 1554817879.6640
MEM 88.531250 1554817879.7650
MEM 93.933594 1554817879.8660
MEM 102.437500 1554817879.9670
MEM 92.757812 1554817880.0670
MEM 95.269531 1554817880.1680
MEM 102.546875 1554817880.2680
MEM 97.320312 1554817880.3690
MEM 100.230469 1554817880.4700
MEM 103.039062 1554817880.5700
MEM 97.265625 1554817880.6710
MEM 101.679688 1554817880.7720
MEM 83.312500 1554817880.8730
MEM 90.082031 1554817880.9730
MEM 102.222656 1554817881.0740
FUNC __main__.run 45.5039 1554817874.7910 101.4805 1554817875.0560
FUNC __main__.run 101.4805 1554817875.0570 101.7422 1554817875.3430
FUNC __main__.run 101.7422 1554817875.3440 102.0781 1554817875.6270
FUNC __main__.run 102.0781 1554817875.6280 101.9961 1554817875.9160
FUNC __main__.run 101.9961 1554817875.9170 102.0586 1554817876.2240
FUNC __main__.run 102.0586 1554817876.2250 102.0781 1554817876.4920
FUNC __main__.run 102.0781 1554817876.4920 102.0781 1554817876.7800
FUNC __main__.run 102.0781 1554817876.7800 102.1523 1554817877.0680
FUNC __main__.run 102.1523 1554817877.0680 102.1211 1554817877.3580
FUNC __main__.run 102.1211 1554817877.3590 102.1602 1554817877.6400
FUNC __main__.run 102.1602 1554817877.6410 102.3477 1554817877.9280
FUNC __main__.run 102.3477 1554817877.9280 102.4062 1554817878.2230
FUNC __main__.run 102.4062 1554817878.2240 102.5508 1554817878.5100
FUNC __main__.run 102.5508 1554817878.5110 102.8242 1554817878.7760
FUNC __main__.run 102.8242 1554817878.7770 102.2422 1554817879.0620
FUNC __main__.run 102.2422 1554817879.0630 102.2891 1554817879.3490
FUNC __main__.run 102.2891 1554817879.3500 102.2852 1554817879.6340
FUNC __main__.run 102.2852 1554817879.6350 102.2734 1554817879.9270
FUNC __main__.run 102.2734 1554817879.9270 102.3789 1554817880.2360
FUNC __main__.run 102.3789 1554817880.2370 103.0391 1554817880.5220
FUNC __main__.run 103.0391 1554817880.5220 102.5977 1554817880.7900
FUNC __main__.run 102.5977 1554817880.7900 102.2227 1554817881.0710
FUNC __main__.run 102.2227 1554817881.0720 88.4961 1554817881.2240
